use_no, field_name, old_value, new_value, error_id
1343296, ACRE_PLANTED, 14, 16, 101923
1343508, ACRE_PLANTED, 16, 17.5, 101935
1343509, ACRE_PLANTED, 16, 17.5, 101936
1343510, ACRE_PLANTED, 14, 16, 101937
1343511, ACRE_PLANTED, 14, 16, 101938
1343512, ACRE_PLANTED, 14, 16, 101939
1343516, ACRE_PLANTED, 18.5, 19, 101940
1343517, ACRE_PLANTED, 18.5, 19, 101941
1343518, ACRE_PLANTED, 18.5, 19, 101942
1343606, ACRE_PLANTED, 18.5, 19, 101943
1343607, ACRE_PLANTED, 18.5, 19, 101944
1343608, ACRE_PLANTED, 18.5, 19, 101945
1343609, ACRE_PLANTED, 18.5, 19, 101946
1343630, ACRE_PLANTED, 16, 18, 101947
1343631, ACRE_PLANTED, 16, 18, 101948
1343632, ACRE_PLANTED, 16, 18, 101949
1343633, ACRE_PLANTED, 16, 18, 101950
1343634, ACRE_PLANTED, 12, 14, 101951
1343635, ACRE_PLANTED, 12, 14, 101952
1343636, ACRE_PLANTED, 12, 14, 101953
1343637, ACRE_PLANTED, 12, 14, 101954
1343638, ACRE_PLANTED, 18.5, 19, 101955
1343639, ACRE_PLANTED, 18.5, 19, 101956
1343640, ACRE_PLANTED, 18.5, 19, 101957
1343731, ACRE_PLANTED, 12, 14, 101958
1343732, ACRE_PLANTED, 12, 14, 101959
1343733, ACRE_PLANTED, 12, 14, 101960
1343753, ACRE_PLANTED, 18.5, 19, 101961
1343754, ACRE_PLANTED, 18.5, 19, 101962
1343755, ACRE_PLANTED, 18.5, 19, 101963
1343756, ACRE_PLANTED, 18.5, 19, 101964
1354121, LBS_PRD_USED, 1.3128, 1.3128, 102138
1354121, AMT_PRD_USED, .48, .1299, 102138
1770262, LBS_PRD_USED, .0008, .0008, 144443
1770262, AMT_PRD_USED, 8, .011, 144443
1770263, LBS_PRD_USED, .0008, .0008, 144444
1770263, AMT_PRD_USED, 8, .011, 144444
1770307, LBS_PRD_USED, .0008, .0008, 144446
1770307, AMT_PRD_USED, 8, .011, 144446
1770308, LBS_PRD_USED, .0008, .0008, 144447
1770308, AMT_PRD_USED, 8, .011, 144447
3406081, LBS_PRD_USED, 41.8247, 41.8247, 236178
3406081, AMT_PRD_USED, 525.6, 4.8306, 236178
3407154, UNIT_TREATED, S, A, 236185
1703166, LBS_PRD_USED, .0045, .0045, 139793
1703166, AMT_PRD_USED, 1.5, .0006, 139793
1703171, ACRE_TREATED, .01, 6.68, 139796
1703172, ACRE_TREATED, .01, 11.86, 139797
